Timestamp,BPM,HRV_Index,Respiration_Raw,Posture_State,Device_Status
435,87.7,45.0,0.0,Unknown,OK
1467,99.3,45.0,0.0,1 Hunched back,OK
2467,99.3,45.0,0.0,1 Hunched back,OK
3471,83.3,45.0,0.0,0 Straight back,OK
4471,90.4,45.0,0.0,1 Hunched back,OK
5503,83.0,45.0,0.0,0 Straight back,OK
6503,87.1,45.0,0.0,0 Straight back,OK
7507,85.2,45.0,0.0,0 Straight back,OK
8539,83.0,45.0,0.0,0 Straight back,OK
9539,85.6,45.0,0.0,0 Straight back,OK
10539,85.3,45.0,0.0,0 Straight back,OK
11543,84.6,45.0,0.0,0 Straight back,OK
12576,82.4,45.0,0.0,0 Straight back,OK
13576,85.2,45.0,0.0,0 Straight back,OK
14580,90.5,45.0,0.0,0 Straight back,OK
15580,87.7,45.0,0.0,0 Straight back,OK
16612,82.9,45.0,0.0,0 Straight back,OK
17612,87.6,45.0,0.0,0 Straight back,OK
18616,87.7,45.0,0.0,0 Straight back,OK
19616,93.3,45.0,0.0,0 Straight back,OK
20648,90.4,45.0,0.0,0 Straight back,OK
21652,87.2,45.0,0.0,0 Straight back,OK
22652,90.4,45.0,0.0,0 Straight back,OK
23684,93.3,45.0,0.0,0 Straight back,OK
24684,93.7,45.0,0.0,0 Straight back,OK
25688,93.6,45.0,0.0,1 Hunched back,OK
26688,87.2,45.0,0.0,1 Hunched back,OK
27688,92.4,45.0,0.0,1 Hunched back,OK
28720,83.0,45.0,0.0,1 Hunched back,OK
29724,90.4,45.0,0.0,1 Hunched back,OK
30724,96.3,45.0,0.0,1 Hunched back,OK
31756,96.3,45.0,0.0,1 Hunched back,OK
32760,92.4,45.0,0.0,1 Hunched back,OK
33761,96.3,45.0,0.0,0 Straight back,OK
34761,96.6,45.0,0.0,0 Straight back,OK
35761,85.3,45.0,0.0,0 Straight back,OK
36797,82.3,45.0,0.0,0 Straight back,OK
37797,80.6,45.0,0.0,0 Straight back,OK
38797,83.0,45.0,0.0,0 Straight back,OK
39833,82.9,45.0,0.0,0 Straight back,OK
40833,87.8,45.0,0.0,0 Straight back,OK
41833,89.7,45.0,0.0,0 Straight back,OK
42865,82.4,45.0,0.0,0 Straight back,OK
43869,78.5,45.0,0.0,0 Straight back,OK
44869,80.6,45.0,0.0,0 Straight back,OK
45869,85.3,45.0,0.0,0 Straight back,OK
46869,82.3,45.0,707.0,0 Straight back,OK
47905,85.1,45.0,714.0,0 Straight back,OK
48905,82.9,45.0,655.0,0 Straight back,OK
49905,80.6,45.0,0.0,0 Straight back,OK
50905,78.6,45.0,0.0,0 Straight back,OK
51941,82.3,45.0,0.0,0 Straight back,OK
52941,80.2,45.0,0.0,0 Straight back,OK
53941,85.2,45.0,0.0,0 Straight back,OK
54977,82.9,45.0,0.0,0 Straight back,OK
55978,85.7,45.0,0.0,0 Straight back,OK
56978,87.1,45.0,0.0,0 Straight back,OK
57978,87.6,45.0,0.0,0 Straight back,OK
58978,90.8,45.0,0.0,0 Straight back,OK
